timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
47479,2026-07-14T23:27:55.320294,air,4584219,5,43.4,21.09,6176814,5,43.81,21.34,8618622,5,44.68,20.73,5789399,5,44.8,20.48,6872483,5,44.95,20.95,10195395,5,44.63,20.8,3387223,5,43.97,21.49,4392493,5,44.02,21.42
47829,2026-07-14T23:27:55.669058,air,4584219,6,43.41,21.06,5675095,5,43.84,21.33,8618622,5,44.69,20.67,5384160,5,44.83,20.44,6872483,6,44.97,20.93,10195395,5,44.66,20.74,3387223,6,43.99,21.46,4077650,5,44.03,21.39
48179,2026-07-14T23:27:56.015598,air,4584219,6,43.44,21.04,5675095,6,43.86,21.29,7936062,5,44.72,20.64,5384160,6,44.85,20.39,6872483,6,45.0,20.88,9437788,5,44.68,20.71,3387223,6,44.0,21.43,4077650,6,44.06,21.35
48529,2026-07-14T23:27:56.375634,air,4584219,6,43.45,21.01,5675095,6,43.87,21.25,7936062,6,44.75,20.59,5384160,6,44.87,20.38,6872483,6,45.0,20.86,9437788,6,44.71,20.72,3387223,6,44.02,21.38,4077650,6,44.07,21.31
48879,2026-07-14T23:27:56.717342,air,4584219,6,43.46,20.98,5675095,6,43.88,21.23,7936062,6,44.76,20.56,5384160,6,44.89,20.35,6872483,6,45.03,20.84,9437788,6,44.73,20.74,3387223,6,44.02,21.34,4077650,6,44.09,21.28
49229,2026-07-14T23:27:57.072448,air,4302521,6,43.44,20.94,5675095,6,43.87,21.19,7936062,6,44.78,20.52,5384160,6,44.9,20.32,6431403,6,45.05,20.79,9437788,6,44.75,20.59,3154409,6,44.04,21.31,4077650,6,44.11,21.24
49579,2026-07-14T23:27:57.426380,air,4302521,7,43.67,20.95,5280051,6,43.87,21.17,7936062,6,44.77,20.49,4999695,6,44.91,20.28,6431403,7,45.31,20.79,8950560,6,44.78,20.55,3154409,7,44.27,21.32,3820895,6,44.11,21.22
49929,2026-07-14T23:27:57.772552,air,4302521,7,43.84,20.94,5280051,7,44.11,21.17,7578168,6,44.78,20.48,4999695,7,45.14,20.28,6431403,7,45.52,20.77,8950560,7,45.04,20.56,3154409,7,44.48,21.32,3820895,7,44.35,21.21
50279,2026-07-14T23:27:58.126151,air,4302521,7,43.94,20.91,5280051,7,44.32,21.16,7578168,7,45.02,20.47,4999695,7,45.33,20.26,6431403,7,45.64,20.73,8950560,7,45.26,20.53,3154409,7,44.61,21.28,3820895,7,44.56,21.19
50629,2026-07-14T23:27:58.461870,air,4302521,7,44.01,20.88,5280051,7,44.46,21.13,7578168,7,45.24,20.46,4999695,7,45.45,20.26,6431403,7,45.73,20.7,8950560,7,45.39,20.49,3154409,7,44.71,21.23,3820895,7,44.68,21.16
