timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
1629,2026-07-14T22:42:53.599770,chillipowder,6400000,0,41.51,24.02,6400000,0,41.98,24.2,6400000,0,42.19,23.89,6400000,0,42.27,23.71,6400000,0,41.02,25.66,6400000,0,40.85,25.18,6400000,0,40.06,26.53,6400000,0,40.16,26.24
1979,2026-07-14T22:42:53.936401,chillipowder,6400000,0,42.23,24.08,6400000,0,42.71,24.26,6400000,0,42.92,23.98,6400000,0,43.0,23.79,6400000,0,41.76,25.75,6400000,0,41.61,25.28,6400000,0,40.77,26.61,6400000,0,40.86,26.31
2329,2026-07-14T22:42:54.284871,chillipowder,6400000,0,42.58,24.07,6400000,0,43.08,24.28,6400000,0,43.28,23.95,6400000,0,43.38,23.79,6400000,0,42.15,25.75,6400000,0,42.0,25.27,6400000,0,41.13,26.65,6400000,0,41.22,26.32
2679,2026-07-14T22:42:54.633872,chillipowder,6400000,0,42.76,24.04,6400000,0,43.28,24.24,6400000,0,43.5,23.92,6400000,0,43.59,23.77,6400000,0,42.37,25.69,6400000,0,42.21,25.24,6400000,0,41.34,26.6,6400000,0,41.42,26.29
3029,2026-07-14T22:42:54.983818,chillipowder,469724,0,42.87,23.97,550389,0,43.4,24.15,694944,0,43.62,23.86,527835,0,43.73,23.72,644430,0,42.52,25.65,859060,0,42.36,25.15,383233,0,41.48,26.56,436953,0,41.55,26.22
3379,2026-07-14T22:42:55.334848,chillipowder,469724,1,42.08,23.81,550389,1,42.63,24.0,694944,1,42.84,23.67,527835,1,42.97,23.54,644430,1,41.73,25.45,859060,1,41.56,24.99,383233,1,40.76,26.37,436953,1,40.82,26.06
3729,2026-07-14T22:42:55.694241,chillipowder,82409304,1,41.75,23.71,101096800,1,42.28,23.92,102400000,1,42.49,23.6,96305656,1,42.63,23.46,80585304,1,41.39,25.38,102400000,1,41.21,24.91,58047828,1,40.43,26.27,66131180,1,40.49,25.97
4079,2026-07-14T22:42:56.034808,chillipowder,82409304,2,41.59,23.68,101096800,2,42.14,23.9,102400000,2,42.32,23.57,96305656,2,42.48,23.42,80585304,2,41.21,25.33,102400000,2,41.04,24.88,58047828,2,40.26,26.25,66131180,2,40.33,25.92
4429,2026-07-14T22:42:56.385745,chillipowder,82409304,2,41.5,23.68,101096800,2,42.03,23.86,102400000,2,42.22,23.57,96305656,2,42.37,23.41,80585304,2,41.1,25.32,102400000,2,40.93,24.85,58047828,2,40.16,26.21,66131180,2,40.22,25.92
4779,2026-07-14T22:42:56.733339,chillipowder,82409304,2,41.45,23.7,101096800,2,41.97,23.88,102400000,2,42.18,23.56,96305656,2,42.3,23.4,80585304,2,41.03,25.32,102400000,2,40.88,24.84,58047828,2,40.08,26.2,66131180,2,40.16,25.93
