timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
44329,2026-07-15T00:35:19.313840,cinnamon,979904,3,41.87,25.18,1355393,3,42.25,25.4,68036336,3,42.93,24.72,591394,3,42.99,24.35,3540955,4,43.57,24.7,57361924,3,42.96,24.4,1436688,4,42.86,25.14,1680065,3,42.55,25.01
44679,2026-07-15T00:35:19.663511,cinnamon,979904,4,42.3,25.27,1355393,4,42.68,25.46,7004703,3,42.92,24.75,591394,4,43.43,24.45,3540955,4,43.91,24.73,5074016,3,42.95,24.43,1436688,4,43.16,25.16,1680065,4,42.97,25.08
45029,2026-07-15T00:35:19.999836,cinnamon,979904,4,42.61,25.31,1355393,4,42.98,25.51,7004703,4,43.36,24.82,591394,4,43.75,24.46,3540955,4,44.08,24.71,5074016,4,43.38,24.5,1436688,4,43.32,25.17,1680065,4,43.27,25.12
45379,2026-07-15T00:35:20.349305,cinnamon,979904,4,42.75,25.33,1355393,4,43.13,25.5,7004703,4,43.66,24.87,591394,4,43.9,24.47,3540955,4,44.18,24.7,5074016,4,43.71,24.51,1436688,4,43.42,25.13,1680065,4,43.42,25.12
45729,2026-07-15T00:35:20.713036,cinnamon,979904,4,42.83,25.28,1355393,4,43.22,25.48,7004703,4,43.82,24.84,591394,4,44.0,24.44,614830,4,44.24,24.65,5074016,4,43.86,24.52,284840,4,43.48,25.1,1680065,4,43.51,25.1
46079,2026-07-15T00:35:21.098888,cinnamon,249817,4,42.88,25.25,330003,4,43.28,25.44,7004703,4,43.91,24.82,195793,4,44.06,24.42,614830,5,44.3,24.6,5074016,4,43.97,24.51,284840,5,43.52,25.07,332251,4,43.58,25.08
46429,2026-07-15T00:35:21.412800,cinnamon,249817,5,42.92,25.41,330003,5,43.32,25.41,875587,4,43.98,24.78,195793,5,44.11,24.37,614830,5,44.33,24.56,867796,4,44.03,24.47,284840,5,43.56,25.02,332251,5,43.62,25.03
46779,2026-07-15T00:35:21.762896,cinnamon,249817,5,42.94,25.1,330003,5,43.35,25.36,875587,5,44.02,24.73,195793,5,44.15,24.32,614830,5,44.36,24.52,867796,5,44.09,24.43,284840,5,43.58,25.0,332251,5,43.65,25.0
47129,2026-07-15T00:35:22.113493,cinnamon,249817,5,42.96,25.16,330003,5,43.38,25.32,875587,5,44.06,24.69,195793,5,44.18,24.28,614830,5,44.38,24.48,867796,5,44.11,24.38,284840,5,43.6,24.94,332251,5,43.68,24.95
47479,2026-07-15T00:35:22.460740,cinnamon,265974,5,42.98,25.08,330003,5,43.41,25.29,875587,5,44.08,24.66,195793,5,44.2,24.25,637212,5,44.4,24.44,867796,5,44.14,24.34,299327,5,43.62,24.91,332251,5,43.7,24.92
47829,2026-07-15T00:35:22.813327,cinnamon,265974,6,43.0,25.08,345013,5,43.42,25.27,875587,5,44.1,24.63,215171,5,44.23,24.22,637212,6,44.43,24.4,867796,5,44.17,24.32,299327,6,43.63,24.87,352132,5,43.72,24.88
48179,2026-07-15T00:35:23.163369,cinnamon,265974,6,43.01,25.05,345013,6,43.44,25.21,882378,5,44.13,24.59,215171,6,44.24,24.2,637212,6,44.45,24.36,895104,5,44.18,24.26,299327,6,43.66,24.85,352132,6,43.73,24.83
48529,2026-07-15T00:35:23.507993,cinnamon,265974,6,43.02,25.02,345013,6,43.45,25.18,882378,6,44.13,24.55,215171,6,44.26,24.14,637212,6,44.46,24.33,895104,6,44.21,24.23,299327,6,43.67,24.79,352132,6,43.76,24.81
48879,2026-07-15T00:35:23.855267,cinnamon,265974,6,43.04,25.01,345013,6,43.46,25.16,882378,6,44.15,24.51,215171,6,44.28,24.13,637212,6,44.48,24.29,895104,6,44.22,24.21,299327,6,43.68,24.76,352132,6,43.77,24.79
49229,2026-07-15T00:35:24.215579,cinnamon,259898,6,43.04,24.98,345013,6,43.47,25.13,882378,6,44.16,24.51,215171,6,44.29,24.09,626683,6,44.48,24.26,895104,6,44.23,24.16,294930,6,43.69,24.74,352132,6,43.78,24.75
49579,2026-07-15T00:35:24.563191,cinnamon,259898,7,43.27,25.0,334203,6,43.48,25.1,882378,6,44.17,24.48,215442,6,44.3,24.07,626683,7,44.73,24.26,895104,6,44.25,24.11,294930,7,43.92,24.74,346766,6,43.79,24.72
49929,2026-07-15T00:35:24.906722,cinnamon,259898,7,43.46,24.99,334203,7,43.73,25.12,851559,6,44.19,24.46,215442,7,44.54,23.96,626683,7,44.94,24.24,871674,6,44.25,24.08,294930,7,44.13,24.72,346766,7,44.03,24.71
