timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
1629,2026-07-15T14:53:34.650849,coffee,6400000,0,34.97,56.91,6400000,0,35.3,56.94,6400000,0,35.55,56.92,6400000,0,35.6,56.23,6400000,0,35.68,57.37,6400000,0,35.48,56.83,6400000,0,35.29,58.28,6400000,0,35.37,58.31
1979,2026-07-15T14:53:34.980095,coffee,6400000,0,35.42,56.89,6400000,0,35.77,56.94,6400000,0,36.03,56.91,6400000,0,36.07,56.22,6400000,0,36.14,57.36,6400000,0,35.95,56.83,6400000,0,35.74,58.27,6400000,0,35.81,58.3
2329,2026-07-15T14:53:35.335054,coffee,6400000,0,35.64,56.79,6400000,0,36.0,56.83,6400000,0,36.28,56.82,6400000,0,36.32,56.15,6400000,0,36.37,57.28,6400000,0,36.2,56.73,6400000,0,35.99,58.18,6400000,0,36.04,58.23
2679,2026-07-15T14:53:35.682567,coffee,6400000,0,35.77,56.69,6400000,0,36.14,56.7,6400000,0,36.42,56.65,6400000,0,36.46,56.02,6400000,0,36.53,57.13,6400000,0,36.36,56.62,6400000,0,36.13,58.08,6400000,0,36.18,58.09
3029,2026-07-15T14:53:36.025848,coffee,274751,0,35.85,56.54,331284,0,36.24,56.55,357666,0,36.52,56.49,304671,0,36.56,55.85,330003,0,36.62,56.96,455617,0,36.45,56.45,235673,0,36.23,57.88,250918,0,36.28,57.93
3379,2026-07-15T14:53:36.379016,coffee,274751,1,35.09,56.23,331284,1,35.48,56.25,357666,1,35.75,56.15,304671,1,35.82,55.54,330003,1,35.85,56.67,455617,1,35.68,56.14,235673,1,35.5,57.57,250918,1,35.54,57.63
3729,2026-07-15T14:53:36.729744,coffee,21794480,1,34.79,56.13,29178984,1,35.17,56.13,26109960,1,35.45,56.03,25293708,1,35.52,55.41,16545317,1,35.52,56.52,27524570,1,35.34,56.01,18445258,1,35.17,57.43,17626682,1,35.23,57.5
4079,2026-07-15T14:53:37.076400,coffee,21794480,2,34.64,56.13,29178984,2,35.01,56.08,26109960,2,35.28,56.01,25293708,2,35.35,55.37,16545317,2,35.34,56.47,27524570,2,35.17,55.99,18445258,2,35.01,57.39,17626682,2,35.07,57.46
4429,2026-07-15T14:53:37.429951,coffee,21794480,2,34.56,56.13,29178984,2,34.92,56.1,26109960,2,35.2,56.02,25293708,2,35.26,55.37,16545317,2,35.23,56.51,27524570,2,35.07,56.02,18445258,2,34.91,57.38,17626682,2,34.97,57.5
4779,2026-07-15T14:53:37.781124,coffee,21794480,2,34.51,56.21,29178984,2,34.86,56.16,26109960,2,35.14,56.09,25293708,2,35.19,55.43,16545317,2,35.16,56.56,27524570,2,35.0,56.08,18445258,2,34.83,57.45,17626682,2,34.91,57.54
5129,2026-07-15T14:53:38.130847,coffee,21794480,2,34.48,56.27,29178984,2,34.83,56.24,26109960,2,35.1,56.15,25293708,2,35.14,55.49,16545317,2,35.11,56.64,27524570,2,34.96,56.14,18445258,2,34.8,57.53,17626682,2,34.86,57.61
5479,2026-07-15T14:53:38.480942,coffee,21794480,2,34.47,56.37,29178984,2,34.8,56.3,26109960,2,35.09,56.22,25293708,2,35.12,55.56,16545317,2,35.09,56.71,27524570,2,34.93,56.24,18445258,2,34.76,57.61,17626682,2,34.82,57.71
5829,2026-07-15T14:53:38.828315,coffee,21794480,2,34.46,56.45,29178984,2,34.79,56.4,26109960,2,35.06,56.31,25293708,2,35.1,55.63,16545317,2,35.07,56.81,27524570,2,34.91,56.31,18445258,2,34.74,57.67,17626682,2,34.8,57.76
6179,2026-07-15T14:53:39.180526,coffee,21794480,2,34.46,56.52,29178984,2,34.78,56.45,26109960,2,35.06,56.38,25293708,2,35.08,55.69,16545317,2,35.05,56.9,27524570,2,34.89,56.41,18445258,2,34.73,57.77,17626682,2,34.78,57.87
6529,2026-07-15T14:53:39.526486,coffee,21794480,2,34.45,56.63,29178984,2,34.77,56.54,26109960,2,35.05,56.46,25293708,2,35.08,55.79,16545317,2,35.03,56.98,27524570,2,34.88,56.47,18445258,2,34.71,57.88,17626682,2,34.78,57.95
6879,2026-07-15T14:53:39.880626,coffee,21794480,2,34.45,56.69,29178984,2,34.75,56.62,26109960,2,35.06,56.55,25293708,2,35.06,55.86,16545317,2,35.03,57.08,27524570,2,34.87,56.56,18445258,2,34.71,57.96,17626682,2,34.77,58.05
7229,2026-07-15T14:53:40.229611,coffee,11517750,2,34.45,56.73,14817092,2,34.75,56.68,15533539,2,35.05,56.6,13008337,2,35.06,55.94,10853925,2,35.02,57.15,16608211,2,34.87,56.62,9002198,2,34.7,58.04,8957900,2,34.77,58.12
7579,2026-07-15T14:53:40.580393,coffee,11517750,3,34.45,56.83,14817092,3,34.75,56.75,15533539,3,35.04,56.68,13008337,3,35.06,55.97,10853925,3,35.01,57.24,16608211,3,34.87,56.72,9002198,3,34.7,58.1,8957900,3,34.76,58.19
7929,2026-07-15T14:53:40.929259,coffee,11517750,3,34.45,56.87,14817092,3,34.75,56.84,15533539,3,35.05,56.74,13008337,3,35.05,56.05,10853925,3,35.01,57.34,16608211,3,34.86,56.78,9002198,3,34.7,58.18,8957900,3,34.76,58.29
8279,2026-07-15T14:53:41.275562,coffee,11517750,3,34.45,56.94,14817092,3,34.75,56.9,15533539,3,35.04,56.79,13008337,3,35.06,56.12,10853925,3,35.01,57.42,16608211,3,34.86,56.84,9002198,3,34.69,58.25,8957900,3,34.76,58.35
8629,2026-07-15T14:53:41.629002,coffee,11517750,3,34.46,56.99,14817092,3,34.75,56.97,15533539,3,35.05,56.84,13008337,3,35.06,56.19,10853925,3,35.01,57.48,16608211,3,34.86,56.92,9002198,3,34.69,58.31,8957900,3,34.75,58.41
8979,2026-07-15T14:53:41.985245,coffee,11517750,3,34.46,57.04,14817092,3,34.75,57.02,15533539,3,35.05,56.91,13008337,3,35.05,56.25,10853925,3,35.0,57.53,16608211,3,34.86,56.98,9002198,3,34.69,58.38,8957900,3,34.75,58.46
9329,2026-07-15T14:53:42.325981,coffee,11517750,3,34.47,57.08,14817092,3,34.76,57.06,15533539,3,35.05,56.94,13008337,3,35.05,56.28,10853925,3,35.01,57.6,16608211,3,34.86,57.02,9002198,3,34.7,58.43,8957900,3,34.75,58.53
9679,2026-07-15T14:53:42.677245,coffee,11517750,3,34.47,57.12,14817092,3,34.77,57.11,15533539,3,35.06,56.98,13008337,3,35.06,56.35,10853925,3,35.01,57.64,16608211,3,34.86,57.08,9002198,3,34.7,58.5,8957900,3,34.76,58.58
