timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
278478,2026-07-15T15:10:50.211412,corrianderpowder,211832,3,42.13,27.33,167265,3,42.52,27.44,155104,3,42.79,26.88,252777,3,42.81,27.01,444927,3,42.05,28.61,378558,3,41.81,27.95,139395,3,41.25,29.38,211177,3,41.32,28.9
278828,2026-07-15T15:10:50.567716,corrianderpowder,211832,3,42.13,27.37,167265,3,42.51,27.5,155104,3,42.78,26.88,252777,3,42.81,27.04,444927,3,42.04,28.64,378558,3,41.8,28.0,139395,3,41.24,29.39,211177,3,41.32,28.95
279178,2026-07-15T15:10:50.908181,corrianderpowder,211832,3,42.12,27.39,167265,3,42.5,27.52,155104,3,42.77,26.99,252777,3,42.8,27.07,444927,3,42.04,28.68,378558,3,41.8,28.02,139395,3,41.24,29.41,211177,3,41.31,28.95
279528,2026-07-15T15:10:51.267865,corrianderpowder,211832,3,42.11,27.42,167265,3,42.49,27.57,155104,3,42.75,27.09,252777,3,42.79,27.11,444927,3,42.03,28.68,378558,3,41.77,28.06,139395,3,41.23,29.45,211177,3,41.29,29.0
279878,2026-07-15T15:10:51.618128,corrianderpowder,211832,3,42.1,27.43,167265,3,42.49,27.6,155104,3,42.75,27.07,252777,3,42.79,27.12,444927,3,42.02,28.71,378558,3,41.77,28.1,139395,3,41.22,29.46,211177,3,41.29,29.01
280228,2026-07-15T15:10:51.969429,corrianderpowder,211832,3,42.09,27.44,167265,3,42.48,27.61,155104,3,42.74,27.09,252777,3,42.78,27.14,444927,3,42.01,28.73,378558,3,41.77,28.13,139395,3,41.21,29.48,211177,3,41.28,29.02
280578,2026-07-15T15:10:52.319308,corrianderpowder,211832,3,42.08,27.47,167265,3,42.47,27.64,155104,3,42.73,27.15,252777,3,42.77,27.15,444927,3,42.01,28.75,378558,3,41.76,28.14,139395,3,41.2,29.5,211177,3,41.27,29.06
280928,2026-07-15T15:10:52.666312,corrianderpowder,211832,3,42.08,27.48,167265,3,42.47,27.67,155104,3,42.72,27.17,252777,3,42.76,27.07,444927,3,42.01,28.77,378558,3,41.75,28.17,139395,3,41.19,29.51,211177,3,41.26,29.08
281278,2026-07-15T15:10:53.017135,corrianderpowder,211832,3,42.07,27.48,167265,3,42.46,27.69,155104,3,42.7,27.24,252777,3,42.75,27.27,444927,3,42.0,28.79,378558,3,41.75,28.19,139395,3,41.2,29.54,211177,3,41.26,29.1
281628,2026-07-15T15:10:53.358313,corrianderpowder,211832,3,42.06,27.49,167265,3,42.45,27.71,155104,3,42.69,27.27,252777,3,42.74,27.23,444927,3,41.99,28.79,378558,3,41.74,28.21,139395,3,41.2,29.56,211177,3,41.26,29.13
281978,2026-07-15T15:10:53.716340,corrianderpowder,211832,3,42.05,27.52,167265,3,42.44,27.72,155104,3,42.68,27.28,252777,3,42.73,27.25,444927,3,41.99,28.8,378558,3,41.73,28.23,139395,3,41.19,29.57,211177,3,41.26,29.14
282328,2026-07-15T15:10:54.068044,corrianderpowder,211832,3,42.04,27.53,167265,3,42.44,27.75,155104,3,42.67,27.31,252777,3,42.73,27.26,444927,3,41.98,28.83,378558,3,41.73,28.27,139395,3,41.18,29.54,211177,3,41.25,29.18
282678,2026-07-15T15:10:54.419730,corrianderpowder,211832,3,42.05,27.64,167265,3,42.44,27.78,155104,3,42.67,27.33,252777,3,42.72,27.3,444927,3,41.99,28.83,378558,3,41.72,28.28,139395,3,41.17,29.6,211177,3,41.24,29.17
283028,2026-07-15T15:10:54.767224,corrianderpowder,211832,3,42.03,27.5,167265,3,42.43,27.78,155104,3,42.65,27.37,252777,3,42.72,27.3,214091,3,41.98,28.83,378558,3,41.72,28.29,56017,3,41.16,29.6,211177,3,41.24,29.19
283378,2026-07-15T15:10:55.110197,corrianderpowder,211832,3,42.03,27.59,167265,3,42.42,27.8,155104,3,42.65,27.39,252777,3,42.7,27.3,214091,4,42.41,28.89,378558,3,41.72,28.31,56017,4,41.57,29.67,211177,3,41.23,29.2
283728,2026-07-15T15:10:55.464892,corrianderpowder,106444,3,42.02,27.59,167265,3,42.42,27.81,155104,3,42.64,27.4,110297,3,42.7,27.33,214091,4,42.75,28.9,378558,3,41.71,28.33,56017,4,41.87,29.69,211177,3,41.23,29.2
284078,2026-07-15T15:10:55.820310,corrianderpowder,106444,4,42.44,27.67,167265,3,42.41,27.83,155104,3,42.64,27.41,110297,4,43.14,27.38,214091,4,42.91,28.89,378558,3,41.71,28.34,56017,4,42.03,29.67,90172,3,41.22,29.22
284428,2026-07-15T15:10:56.167627,corrianderpowder,106444,4,42.76,27.66,167265,3,42.4,27.83,155104,3,42.63,27.42,110297,4,43.46,27.4,214091,4,43.01,28.83,378558,3,41.71,28.34,56017,4,42.12,29.62,90172,4,41.62,29.27
284778,2026-07-15T15:10:56.513986,corrianderpowder,106444,4,42.91,27.64,167265,3,42.4,27.86,155104,3,42.63,27.42,110297,4,43.62,27.38,103917,4,43.08,28.78,378558,3,41.7,28.36,42524,4,42.19,29.58,90172,4,41.94,29.31
285128,2026-07-15T15:10:56.868541,corrianderpowder,106444,4,42.98,27.57,167265,3,42.39,27.87,155104,3,42.62,27.46,110297,4,43.71,27.34,103917,5,43.13,28.7,378558,3,41.7,28.38,42524,5,42.23,29.5,90172,4,42.09,29.28
285478,2026-07-15T15:10:57.217401,corrianderpowder,62226,4,43.04,27.53,167265,3,42.4,27.89,155104,3,42.62,27.47,65928,4,43.79,27.26,103917,5,43.18,28.63,219459,3,41.7,28.37,42524,5,42.26,29.44,90172,4,42.18,29.24
285828,2026-07-15T15:10:57.567557,corrianderpowder,62226,5,43.07,27.48,95273,3,42.39,27.88,155104,3,42.62,27.47,65928,5,43.83,27.2,103917,5,43.2,28.57,219459,4,42.13,28.45,42524,5,42.29,29.37,58756,4,42.23,29.19
286178,2026-07-15T15:10:57.909687,corrianderpowder,62226,5,43.09,27.41,95273,4,42.82,27.95,155104,3,42.62,27.48,65928,5,43.86,27.14,103917,5,43.23,28.5,219459,4,42.45,28.47,42524,5,42.3,29.31,58756,5,42.28,29.15
286528,2026-07-15T15:10:58.269534,corrianderpowder,62226,5,43.11,27.34,95273,4,43.13,27.96,155104,3,42.62,27.49,65928,5,43.89,27.08,105068,5,43.25,28.44,219459,4,42.62,28.44,43790,5,42.33,29.27,58756,5,42.32,29.06
286878,2026-07-15T15:10:58.618836,corrianderpowder,62226,5,43.12,27.31,95273,4,43.29,27.93,104362,3,42.62,27.5,65928,5,43.91,27.04,105068,6,43.27,28.38,219459,4,42.72,28.39,43790,6,42.34,29.18,58756,5,42.35,28.99
287228,2026-07-15T15:10:58.964013,corrianderpowder,62914,5,43.13,27.24,95273,4,43.38,27.9,104362,4,43.05,27.55,67599,5,43.93,26.96,105068,6,43.29,28.31,114209,4,42.8,28.33,43790,6,42.35,29.14,58756,5,42.37,28.94
