timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
158079,2026-07-15T15:01:11.629846,masalapowder,99090,8,42.77,28.05,18043,7,43.31,28.35,28841,7,43.27,27.94,91822,8,43.88,27.52,115445,8,43.45,28.76,38357,7,43.09,28.54,76167,8,42.5,29.66,77764,8,42.52,29.4
158429,2026-07-15T15:01:11.983457,masalapowder,99090,8,42.8,27.99,119486,7,43.36,28.27,28841,7,43.49,27.93,91822,8,43.92,27.48,115445,8,43.49,28.7,163578,7,43.16,28.49,76167,8,42.54,29.59,77764,8,42.56,29.32
158779,2026-07-15T15:01:12.333734,masalapowder,99090,8,42.82,27.95,119486,8,43.41,28.21,28841,7,43.61,27.87,91822,8,43.96,27.43,115445,8,43.51,28.63,163578,8,43.21,28.4,76167,8,42.56,29.53,77764,8,42.59,29.28
159129,2026-07-15T15:01:12.684050,masalapowder,99090,8,42.85,27.92,119486,8,43.45,28.12,28841,7,43.7,27.82,91822,8,43.98,27.35,128967,8,43.54,28.54,163578,8,43.25,28.36,83797,8,42.58,29.46,77764,8,42.62,29.21
159479,2026-07-15T15:01:13.035791,masalapowder,109800,8,42.87,27.85,119486,8,43.49,28.08,131958,7,43.76,27.75,104875,8,44.02,27.31,128967,9,43.57,28.5,163578,8,43.28,28.29,83797,9,42.61,29.42,84880,8,42.65,29.15
159829,2026-07-15T15:01:13.383311,masalapowder,109800,9,42.89,27.81,119486,8,43.52,28.02,131958,8,43.81,27.7,104875,9,44.04,27.26,128967,9,43.59,28.46,163578,8,43.32,28.23,83797,9,42.63,29.36,84880,9,42.67,29.1
160179,2026-07-15T15:01:13.731942,masalapowder,109800,9,42.91,27.75,132470,8,43.54,27.95,131958,8,43.85,27.61,104875,9,44.06,27.21,128967,9,43.61,28.39,183446,8,43.33,28.16,83797,9,42.65,29.3,84880,9,42.69,29.06
160529,2026-07-15T15:01:14.086919,masalapowder,109800,9,42.93,27.71,132470,9,43.57,27.89,131958,8,43.89,27.56,104875,9,44.09,27.15,128967,9,43.63,28.34,183446,9,43.36,28.1,83797,9,42.67,29.27,84880,9,42.71,29.01
160879,2026-07-15T15:01:14.436395,masalapowder,109800,9,42.95,27.67,132470,9,43.59,27.84,131958,8,43.92,27.5,104875,9,44.11,27.12,132265,9,43.65,28.31,183446,9,43.39,28.06,85733,9,42.68,29.2,84880,9,42.72,28.96
161229,2026-07-15T15:01:14.783730,masalapowder,111668,9,42.97,27.64,132470,9,43.61,27.81,147976,8,43.94,27.44,107382,9,44.13,27.07,132265,0,43.67,28.25,183446,9,43.4,28.01,85733,0,42.69,29.16,87045,9,42.74,28.91
161579,2026-07-15T15:01:15.131085,masalapowder,111668,0,42.98,27.59,132470,9,43.64,27.76,147976,9,43.97,27.38,107382,0,44.15,27.03,132265,0,43.68,28.22,183446,9,43.43,27.95,85733,0,42.72,29.12,87045,0,42.76,28.87
161929,2026-07-15T15:01:15.483745,masalapowder,111668,0,43.0,27.55,135521,9,43.65,27.72,147976,9,44.0,27.33,107382,0,44.17,26.98,132265,0,43.69,28.18,192048,9,43.45,27.91,85733,0,42.73,29.07,87045,0,42.78,28.82
162279,2026-07-15T15:01:15.834544,masalapowder,111668,0,43.03,27.54,135521,0,43.67,27.67,147976,9,44.02,27.28,107382,0,44.19,26.96,132265,0,43.72,28.16,192048,0,43.47,27.87,85733,0,42.75,29.04,87045,0,42.79,28.78
