timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
235779,2026-07-15T15:19:46.238691,pepperpowder,6363,6,43.14,25.83,7395,6,43.54,26.13,8215,5,43.78,26.15,5684,6,43.94,25.46,11247,7,43.6,26.99,12620,6,42.76,27.21,5684,7,42.52,28.04,5684,6,42.04,28.41
236129,2026-07-15T15:19:46.594928,pepperpowder,6363,7,43.39,25.83,7395,6,43.56,26.09,8215,5,43.81,26.11,5684,7,44.18,25.47,11247,7,43.73,26.98,12620,6,42.79,27.18,5684,7,42.66,28.0,5684,7,42.27,28.44
236479,2026-07-15T15:19:46.936735,pepperpowder,6363,7,43.58,25.83,7395,6,43.58,26.05,8215,5,43.83,26.07,5684,7,44.38,25.47,11247,7,43.81,26.93,12620,6,42.8,27.13,5684,7,42.74,27.96,5684,7,42.45,28.4
236829,2026-07-15T15:19:47.294151,pepperpowder,6363,7,43.68,25.8,7395,6,43.59,26.0,8177,5,43.86,26.0,5684,7,44.51,25.43,35251,7,43.87,26.87,12620,6,42.82,27.1,21940,7,42.8,27.9,5684,7,42.58,28.38
237179,2026-07-15T15:19:47.638621,pepperpowder,6363,7,43.75,25.74,7138,6,43.6,25.99,8177,6,43.88,25.96,5684,7,44.59,25.4,35251,8,43.93,26.8,12502,6,42.83,27.07,21940,8,42.85,27.86,5684,7,42.66,28.32
237529,2026-07-15T15:19:47.991280,pepperpowder,27327,7,43.8,25.7,7138,7,43.86,25.99,8177,6,43.9,25.93,27467,7,44.65,25.34,35251,8,43.96,26.73,12502,7,43.09,27.09,21940,8,42.89,27.79,20785,7,42.71,28.27
237879,2026-07-15T15:19:48.337065,pepperpowder,27327,8,43.84,25.64,7138,7,44.07,25.97,8177,6,43.92,25.9,27467,8,44.7,25.28,35251,8,43.99,26.68,12502,7,43.32,27.06,21940,8,42.91,27.73,20785,8,42.76,28.19
238229,2026-07-15T15:19:48.689785,pepperpowder,27327,8,43.87,25.59,7138,7,44.2,25.92,8177,6,43.93,25.86,27467,8,44.74,25.22,35251,8,44.03,26.63,12502,7,43.44,27.02,21940,8,42.94,27.67,20785,8,42.8,28.16
238579,2026-07-15T15:19:49.039561,pepperpowder,27327,8,43.89,25.54,7138,7,44.29,25.9,7916,6,43.95,25.82,27467,8,44.78,25.18,37090,8,44.05,26.58,12502,7,43.53,26.97,23005,8,42.96,27.63,20785,8,42.82,28.1
238929,2026-07-15T15:19:49.397084,pepperpowder,27327,8,43.92,25.5,34707,7,44.36,25.82,7916,7,44.21,25.81,27467,8,44.81,25.14,37090,9,44.08,26.54,42356,7,43.61,26.92,23005,9,42.98,27.56,20785,8,42.85,28.05
