timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
139879,2026-07-14T23:52:52.255125,vinegar,28272648,2,42.19,38.45,36797304,2,42.65,38.23,50470544,2,43.41,36.75,46561988,2,43.32,37.19,16470470,2,43.16,38.62,38755764,2,43.07,37.5,10694517,2,42.34,40.03,22080862,2,42.42,39.57
140229,2026-07-14T23:52:52.604880,vinegar,14737126,2,42.18,38.52,36797304,2,42.61,38.38,50470544,2,43.36,36.87,25235272,2,43.29,37.3,16470470,3,43.14,38.76,38755764,2,43.03,37.64,10694517,3,42.32,40.16,11566537,2,42.4,39.7
140579,2026-07-14T23:52:52.947820,vinegar,14737126,3,42.17,38.62,36797304,2,42.59,38.52,50470544,2,43.3,37.01,25235272,3,43.26,37.4,16470470,3,43.11,38.87,38755764,2,42.99,37.81,10694517,3,42.3,40.27,11566537,3,42.38,39.81
140929,2026-07-14T23:52:53.306970,vinegar,14737126,3,42.15,38.7,36797304,2,42.56,38.64,50470544,2,43.26,37.15,25235272,3,43.25,37.51,16470470,3,43.09,38.97,38755764,2,42.96,37.92,10694517,3,42.28,40.38,11566537,3,42.36,39.92
141279,2026-07-14T23:52:53.660456,vinegar,14737126,3,42.14,38.78,18891900,2,42.54,38.76,50470544,2,43.23,37.29,25235272,3,43.22,37.61,16470470,3,43.07,39.07,21838054,2,42.94,38.06,10694517,3,42.26,40.48,11566537,3,42.34,40.02
141629,2026-07-14T23:52:54.011090,vinegar,14737126,3,42.13,38.86,18891900,3,42.52,38.88,50470544,2,43.2,37.42,25235272,3,43.2,37.7,16470470,3,43.06,39.17,21838054,3,42.91,38.18,10694517,3,42.25,40.6,11566537,3,42.33,40.13
141979,2026-07-14T23:52:54.358060,vinegar,14737126,3,42.12,38.95,18891900,3,42.5,38.99,28680962,2,43.18,37.54,25235272,3,43.19,37.79,16470470,3,43.04,39.28,21838054,3,42.89,38.28,10694517,3,42.24,40.68,11566537,3,42.31,40.23
142329,2026-07-14T23:52:54.708422,vinegar,14737126,3,42.11,39.02,18891900,3,42.49,39.08,28680962,3,43.16,37.65,25235272,3,43.18,37.88,16470470,3,43.02,39.36,21838054,3,42.87,38.39,10694517,3,42.22,40.76,11566537,3,42.3,40.3
142679,2026-07-14T23:52:55.059276,vinegar,14737126,3,42.11,39.09,18891900,3,42.47,39.2,28680962,3,43.14,37.78,25235272,3,43.15,37.95,16470470,3,43.01,39.43,21838054,3,42.85,38.51,10694517,3,42.21,40.86,11566537,3,42.28,40.39
143029,2026-07-14T23:52:55.446565,vinegar,14737126,3,42.09,39.17,18891900,3,42.46,39.28,28680962,3,43.12,37.89,25235272,3,43.14,38.03,16470470,3,43.0,39.51,21838054,3,42.83,38.61,10694517,3,42.2,40.92,11566537,3,42.27,40.46
143379,2026-07-14T23:52:55.764568,vinegar,14737126,3,42.08,39.22,18891900,3,42.45,39.38,28680962,3,43.11,38.01,25235272,3,43.13,38.1,16470470,3,42.98,39.59,21838054,3,42.82,38.69,10694517,3,42.19,41.0,11566537,3,42.25,40.55
143729,2026-07-14T23:52:56.109077,vinegar,14737126,3,42.07,39.28,18891900,3,42.44,39.45,28680962,3,43.09,38.08,25235272,3,43.11,38.17,16470470,3,42.97,39.66,21838054,3,42.81,38.78,10694517,3,42.17,41.07,11566537,3,42.23,40.62
144079,2026-07-14T23:52:56.458385,vinegar,14737126,3,42.06,39.36,18891900,3,42.42,39.53,28680962,3,43.07,38.2,25235272,3,43.1,38.25,16470470,3,42.96,39.73,21838054,3,42.79,38.87,10694517,3,42.16,41.13,11566537,3,42.23,40.67
144429,2026-07-14T23:52:56.920182,vinegar,14737126,3,42.05,39.43,18891900,3,42.41,39.62,28680962,3,43.06,38.27,25235272,3,43.09,38.32,16470470,3,42.95,39.81,21838054,3,42.77,38.96,10694517,3,42.16,41.21,11566537,3,42.22,40.74
144779,2026-07-14T23:52:57.159391,vinegar,14737126,3,42.04,39.49,18891900,3,42.4,39.68,28680962,3,43.05,38.38,25235272,3,43.07,38.38,16470470,3,42.94,39.85,21838054,3,42.76,39.04,10694517,3,42.14,41.25,11566537,3,42.21,40.81
