timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
78629,2026-07-14T23:45:32.280126,whiskey,11015,8,43.74,37.55,15126,8,44.15,37.67,26106,7,44.83,36.96,18497,8,44.96,36.34,15775,8,44.99,37.74,25301,8,44.74,37.43,9685,8,44.28,39.21,10557,8,44.36,38.8
78979,2026-07-14T23:45:32.634547,whiskey,11015,8,43.76,37.49,15126,8,44.19,37.62,26106,8,44.88,36.89,18497,8,45.0,36.27,15775,8,45.01,37.62,25301,8,44.78,37.32,9685,8,44.31,39.1,10557,8,44.39,38.68
79329,2026-07-14T23:45:32.974793,whiskey,11271,8,43.78,37.43,15126,8,44.23,37.51,26106,8,44.92,36.8,18497,8,45.03,36.2,14420,8,45.05,37.52,25301,8,44.81,37.2,9153,8,44.33,38.98,10557,8,44.42,38.58
79679,2026-07-14T23:45:33.337774,whiskey,11271,9,43.79,37.38,15126,8,44.25,37.45,26106,8,44.96,36.72,18481,8,45.05,36.23,14420,9,45.07,37.41,25301,8,44.84,37.09,9153,9,44.36,38.89,10097,8,44.44,38.47
80029,2026-07-14T23:45:33.686850,whiskey,11271,9,43.82,37.35,15223,8,44.27,37.39,26106,8,44.98,36.68,18481,9,45.08,36.07,14420,9,45.09,37.34,23992,8,44.88,36.99,9153,9,44.39,38.79,10097,9,44.47,38.39
80379,2026-07-14T23:45:34.036776,whiskey,11271,9,43.84,37.3,15223,9,44.3,37.34,25869,8,45.01,36.57,18481,9,45.12,35.95,14420,9,45.12,37.25,23992,9,44.89,36.9,9153,9,44.39,38.73,10097,9,44.5,38.29
80729,2026-07-14T23:45:34.386076,whiskey,11271,9,43.85,37.24,15223,9,44.32,37.26,25869,9,45.03,36.53,18481,9,45.15,35.88,14420,9,45.14,37.18,23992,9,44.93,36.85,9153,9,44.42,38.64,10097,9,44.52,38.2
81079,2026-07-14T23:45:34.726104,whiskey,11212,9,43.87,37.21,15223,9,44.34,37.21,25869,9,45.04,36.44,18385,9,45.17,35.84,14352,9,45.15,37.12,23992,9,44.94,36.76,9395,9,44.44,38.59,10097,9,44.53,38.15
81429,2026-07-14T23:45:35.086506,whiskey,11212,0,43.89,37.17,15223,9,44.36,37.15,25869,9,45.07,36.38,18385,0,45.19,35.79,14352,0,45.18,37.06,23992,9,44.96,36.69,9395,0,44.46,38.54,10194,9,44.56,38.07
81779,2026-07-14T23:45:35.436657,whiskey,11212,0,43.9,37.12,15137,9,44.38,37.09,25869,9,45.1,36.31,18385,0,45.2,35.74,14352,0,45.2,37.01,23529,9,44.98,36.61,9395,0,44.47,38.48,10194,0,44.57,38.01
82129,2026-07-14T23:45:35.785094,whiskey,11212,0,43.92,37.11,15137,0,44.4,37.05,25651,9,45.11,36.29,18385,0,45.22,35.7,14352,0,45.22,36.93,23529,0,45.0,36.54,9395,0,44.5,38.41,10194,0,44.59,37.95
82479,2026-07-14T23:45:36.132354,whiskey,11212,0,43.93,37.07,15137,0,44.41,37.01,25651,0,45.13,36.2,18385,0,45.23,35.66,14352,0,45.23,36.88,23529,0,45.01,36.5,9395,0,44.51,38.35,10194,0,44.6,37.9
82829,2026-07-14T23:45:36.488185,whiskey,11177,0,43.95,37.02,15137,0,44.43,36.98,25651,0,45.15,36.16,18322,0,45.25,35.61,13894,0,45.24,36.85,23529,0,45.03,36.44,9200,0,44.53,38.3,10194,0,44.62,37.86
