timestamp,received_time,label,sensor_0_gas,sensor_0_gas_index,sensor_0_temp,sensor_0_humidity,sensor_1_gas,sensor_1_gas_index,sensor_1_temp,sensor_1_humidity,sensor_2_gas,sensor_2_gas_index,sensor_2_temp,sensor_2_humidity,sensor_3_gas,sensor_3_gas_index,sensor_3_temp,sensor_3_humidity,sensor_4_gas,sensor_4_gas_index,sensor_4_temp,sensor_4_humidity,sensor_5_gas,sensor_5_gas_index,sensor_5_temp,sensor_5_humidity,sensor_6_gas,sensor_6_gas_index,sensor_6_temp,sensor_6_humidity,sensor_7_gas,sensor_7_gas_index,sensor_7_temp,sensor_7_humidity
259229,2026-07-15T00:02:11.595262,wine,91624,5,43.0,38.55,646873,4,42.74,39.48,1712732,3,42.96,37.84,130346,5,44.14,37.48,109168,5,44.01,38.82,918591,4,43.01,38.68,75029,5,43.28,39.9,85390,5,43.29,39.59
259579,2026-07-15T00:02:11.942995,wine,91624,5,43.03,38.5,646873,4,43.04,39.51,1712732,3,42.96,37.91,130346,5,44.17,37.38,109168,5,44.03,38.72,918591,4,43.34,38.71,75029,5,43.29,39.83,85390,5,43.33,39.52
259929,2026-07-15T00:02:12.293766,wine,91624,5,43.05,38.43,646873,4,43.2,39.47,1712732,3,42.95,37.97,130346,5,44.2,37.34,108889,5,44.06,38.65,918591,4,43.51,38.71,72234,5,43.31,39.76,85390,5,43.35,39.44
260279,2026-07-15T00:02:12.644248,wine,91624,5,43.06,38.38,646873,4,43.29,39.41,1140311,3,42.95,38.04,130346,5,44.21,37.27,108889,6,44.06,38.6,918591,4,43.61,38.66,72234,6,43.32,39.69,85390,5,43.38,39.38
260629,2026-07-15T00:02:12.994058,wine,87223,5,43.08,38.35,120244,4,43.35,39.31,1140311,4,43.39,38.13,124725,5,44.23,37.23,108889,6,44.08,38.52,178459,4,43.68,38.58,72234,6,43.34,39.64,82103,5,43.4,39.33
260979,2026-07-15T00:02:13.347214,wine,87223,6,43.08,38.29,120244,5,43.39,39.23,1140311,4,43.7,38.19,124725,6,44.25,37.15,108889,6,44.1,38.48,178459,5,43.73,38.5,72234,6,43.35,39.56,82103,6,43.41,39.27
261329,2026-07-15T00:02:13.692614,wine,87223,6,43.09,38.27,120244,5,43.43,39.18,1140311,4,43.86,38.14,124725,6,44.25,37.11,108889,6,44.11,38.4,178459,5,43.77,38.43,72234,6,43.37,39.49,82103,6,43.43,39.22
261679,2026-07-15T00:02:14.045264,wine,87223,6,43.09,38.24,120244,5,43.45,39.11,1140311,4,43.95,38.08,124725,6,44.26,37.07,107517,6,44.12,38.35,178459,5,43.8,38.35,69983,6,43.37,39.47,82103,6,43.45,39.16
262029,2026-07-15T00:02:14.386474,wine,87223,6,43.1,38.26,120244,5,43.46,39.05,199571,4,44.03,38.05,124725,6,44.27,37.03,107517,7,44.37,38.33,178459,5,43.82,38.28,69983,7,43.62,39.46,82103,6,43.45,39.12
262379,2026-07-15T00:02:14.744753,wine,82740,6,43.11,38.22,114438,5,43.48,38.99,199571,5,44.07,37.97,119822,6,44.28,37.01,107517,7,44.59,38.3,177162,5,43.86,38.19,69983,7,43.83,39.41,79134,6,43.47,39.08
